WHO_region,Disease_presentation,Age_group,Pathogen,burden_mean_value,burden_lower_value,burden_upper_value,Efficacy,Coverage,Duration,DiseasePresentation,Vaccination,Selection
Africa,Cardiac infections,1 to 4,Acinetobacter baumannii,8.10547700275754,3.56987750933326,14.7123066441542,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,5 to 9,Acinetobacter baumannii,6.44033718911825,3.35151881978382,12.8183015034794,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,10 to 14,Acinetobacter baumannii,8.71829728204632,5.55197797093175,14.2284681202352,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,15 to 19,Acinetobacter baumannii,9.08294571229986,5.45429975866926,15.3062092760494,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,20 to 24,Acinetobacter baumannii,10.7837293250442,7.2590346234459,15.9408584445719,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,25 to 29,Acinetobacter baumannii,12.2706239501927,8.63283734404991,17.1693123886122,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,30 to 34,Acinetobacter baumannii,11.5669706720315,8.15389164293368,15.9913413622799,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,35 to 39,Acinetobacter baumannii,13.3394636881084,9.10268972466059,18.6781908091285,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,40 to 44,Acinetobacter baumannii,13.6887109733914,9.38716957146958,19.3687804725064,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,45 to 49,Acinetobacter baumannii,12.6914670474941,8.10846174118473,18.3468134483955,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,50 to 54,Acinetobacter baumannii,14.1443830824245,9.37723557566929,20.5237645983546,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,55 to 59,Acinetobacter baumannii,16.4243272256424,10.5355556082615,24.1836039094146,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,60 to 64,Acinetobacter baumannii,16.3857690053949,10.8474885523378,23.3775146700709,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,65 to 69,Acinetobacter baumannii,19.7536738509015,13.3868308368806,27.8717188145216,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,70 to 74,Acinetobacter baumannii,24.7808988032938,16.5897884391007,35.6552250061337,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,75 to 79,Acinetobacter baumannii,25.533825361489,17.571063934509,36.0497083891128,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,80 to 84,Acinetobacter baumannii,22.4244742284863,15.2603869248351,32.241534070849,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,85 to 89,Acinetobacter baumannii,15.448504853244,10.5942777066819,22.249920729587,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,90 to 94,Acinetobacter baumannii,7.62168023108983,4.71524372533565,12.1915500216063,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,95 plus,Acinetobacter baumannii,2.11335226235756,1.18046396756458,4.00926518492039,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,EN,Acinetobacter baumannii,1961.37722264932,952.1981113886,3889.32052653647,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,LN,Acinetobacter baumannii,374.109027203898,194.314142921836,706.37379305433,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,PN,Acinetobacter baumannii,1799.31023171392,1006.47929231931,2998.16628029484,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,1 to 4,Acinetobacter baumannii,1403.21614179485,727.957420940237,2487.39234983543,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,5 to 9,Acinetobacter baumannii,524.475278492557,292.573722108449,883.969913584533,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,10 to 14,Acinetobacter baumannii,340.047431196339,195.196930479736,557.732819043985,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,15 to 19,Acinetobacter baumannii,397.717341343008,217.908782790046,674.0808521634,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,20 to 24,Acinetobacter baumannii,307.445698565664,174.075491862468,516.246324841864,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,25 to 29,Acinetobacter baumannii,258.801511604045,160.324828479638,409.819639949532,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,30 to 34,Acinetobacter baumannii,267.17772714942,169.025452571532,427.059022909793,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,35 to 39,Acinetobacter baumannii,318.187176740918,195.636688743066,506.780078659562,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,40 to 44,Acinetobacter baumannii,431.586962317268,265.411695873513,685.543696729622,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,45 to 49,Acinetobacter baumannii,626.610156853803,370.329136233225,1032.20456992859,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,50 to 54,Acinetobacter baumannii,1082.15079714769,659.591937506476,1729.49845729126,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,55 to 59,Acinetobacter baumannii,1556.9949419826,851.795728357369,2511.50663483818,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,60 to 64,Acinetobacter baumannii,2229.41136160029,1240.8471095882,3549.24984508399,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,65 to 69,Acinetobacter baumannii,2748.53787736311,1604.79718388992,4171.16860110558,0.7,0.7,5,BSI,60 or above,Yes
